success,function_name,function,wd_experiment,noise,optimizer,dropout,weight_decay,model_size,best_epoch,checkpoint_path,wd_val_loss,wd_auprc_full,wd_auroc,auroc_full,num_gt,num_detected,num_candidates,error,source_file,weight_decay_bool,base_experiment,base_auprc_full,base_auroc,base_val_loss,delta_auprc_full,delta_auroc,delta_val_loss,wd_better_auprc,wd_better_auroc,wd_better_val_loss,wd_meaningful_auprc_gain,wd_meaningful_auprc_loss
True,f7,f7,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,77,snapshots_clean/small/f7/0.5_sgd_dp_wd/best_epoch_0077.pt,1.057415008544922,0.4186410003290556,0.5,0.7492566897918731,4,4,1013,,results/small/f7_analysis.csv,True,0.5_sgd_dp,0.2529615004935834,0.25,1.0589607954025269,0.1656794998354722,0.25,-0.0015457868576047584,True,True,True,True,False
True,f7,f7,1.0_adam_wd,1.0,adam,0.0,True,small,19,snapshots_clean/small/f7/1.0_adam_wd/best_epoch_0019.pt,4.193054676055908,0.501974333662389,0.5,0.7495044598612487,4,4,1013,,results/small/f7_analysis.csv,True,1.0_adam,0.501974333662389,0.5,4.190790176391602,0.0,0.0,0.0022644996643066406,False,False,False,False,False
True,f7,f7,1.0_adam_dp_wd,1.0,adam,0.2,True,small,91,snapshots_clean/small/f7/1.0_adam_dp_wd/best_epoch_0091.pt,4.198464393615723,0.2529615004935834,0.25,0.6246283448959365,4,2,1013,,results/small/f7_analysis.csv,True,1.0_adam_dp,0.501974333662389,0.5,4.206207752227783,-0.24901283316880557,-0.25,-0.007743358612060547,False,False,True,False,True
True,f7,f7,1.0_sgd_dp_wd,1.0,sgd,0.2,True,small,81,snapshots_clean/small/f7/1.0_sgd_dp_wd/best_epoch_0081.pt,4.161092281341553,0.501974333662389,0.5,0.7497522299306243,4,3,1013,,results/small/f7_analysis.csv,True,1.0_sgd_dp,0.501974333662389,0.5,4.158216953277588,0.0,0.0,0.0028753280639648438,False,False,False,False,False
True,f7,f7,base_sgd_wd,0.0,sgd,0.0,True,small,99,snapshots_clean/small/f7/base_sgd_wd/best_epoch_0099.pt,0.0046563306823372,0.3353076669957223,0.3928571428571428,0.7470267591674926,4,10,1013,,results/small/f7_analysis.csv,True,base_sgd,0.5634871668311945,0.6447368421052632,0.0098195225000381,-0.2281794998354722,-0.25187969924812037,-0.0051631918177009,False,False,True,False,True
True,f7,f7,base_sgd_dp_wd,0.0,sgd,0.2,True,small,82,snapshots_clean/small/f7/base_sgd_dp_wd/best_epoch_0082.pt,0.0321828201413154,0.501974333662389,0.5,0.7497522299306243,4,3,1013,,results/small/f7_analysis.csv,True,base_sgd_dp,0.501974333662389,0.5,0.0267720762640237,0.0,0.0,0.005410743877291697,False,False,False,False,False
True,f7,f7,0.1_sgd_wd,0.1,sgd,0.0,True,small,100,snapshots_clean/small/f7/0.1_sgd_wd/best_epoch_0100.pt,0.0503173060715198,0.6884871668311945,0.7000000000000001,0.8741328047571854,4,8,1013,,results/small/f7_analysis.csv,True,0.1_sgd,0.501974333662389,0.5,0.0526641868054866,0.18651283316880551,0.20000000000000007,-0.0023468807339667996,True,True,True,True,False
True,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,small,97,snapshots_clean/small/f7/0.2_sgd_wd/best_epoch_0097.pt,0.1778963953256607,0.4186410003290556,0.5,0.7477700693756195,4,10,1013,,results/small/f7_analysis.csv,True,0.2_sgd,0.501974333662389,0.5,0.17948979139328,-0.08333333333333337,0.0,-0.001593396067619296,False,False,True,False,True
True,f7,f7,0.5_sgd_wd,0.5,sgd,0.0,True,small,38,snapshots_clean/small/f7/0.5_sgd_wd/best_epoch_0038.pt,1.0583926439285278,0.3769743336623889,0.5,0.748761149653122,4,5,1013,,results/small/f7_analysis.csv,True,0.5_sgd,0.3769743336623889,0.5,1.0515326261520386,0.0,0.0,0.006860017776489258,False,False,False,False,False
True,f7,f7,1.0_sgd_wd,1.0,sgd,0.0,True,small,26,snapshots_clean/small/f7/1.0_sgd_wd/best_epoch_0026.pt,4.168941020965576,0.2529615004935834,0.25,0.6242566897918731,4,3,1013,,results/small/f7_analysis.csv,True,1.0_sgd,0.2529615004935834,0.25,4.169632434844971,0.0,0.0,-0.0006914138793945312,False,False,True,False,False
True,f9,f9,0.1_adam_wd,0.1,adam,0.0,True,big,60,snapshots_clean/big/f9/0.1_adam_wd/best_epoch_0060.pt,0.0267753452062606,0.501974333662389,0.5,0.7480178394449951,4,10,1013,,results/big/f9_analysis.csv,True,0.1_adam,0.3769743336623889,0.5,0.02443153783679,0.12500000000000006,0.0,0.0023438073694705998,True,False,False,True,False
True,f9,f9,0.1_adam_dp_wd,0.1,adam,0.2,True,big,50,snapshots_clean/big/f9/0.1_adam_dp_wd/best_epoch_0050.pt,0.0531958304345607,0.501974333662389,0.5,0.7475222993062438,4,12,1013,,results/big/f9_analysis.csv,True,0.1_adam_dp,0.501974333662389,0.5,0.0584053955972194,0.0,0.0,-0.005209565162658698,False,False,True,False,False
True,f9,f9,0.1_sgd_dp_wd,0.1,sgd,0.2,True,big,87,snapshots_clean/big/f9/0.1_sgd_dp_wd/best_epoch_0087.pt,0.0360478684306144,0.501974333662389,0.5,0.7480178394449951,4,10,1013,,results/big/f9_analysis.csv,True,0.1_sgd_dp,0.501974333662389,0.5,0.036635972559452,0.0,0.0,-0.0005881041288375993,False,False,True,False,False
True,f9,f9,0.2_adam_wd,0.2,adam,0.0,True,big,95,snapshots_clean/big/f9/0.2_adam_wd/best_epoch_0095.pt,0.0822027474641799,0.501974333662389,0.5,0.7480178394449951,4,10,1013,,results/big/f9_analysis.csv,True,0.2_adam,0.5947371668311945,0.75,0.0784484595060348,-0.09276283316880551,-0.25,0.0037542879581451,False,False,False,False,True
True,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,45,snapshots_clean/big/f9/0.2_adam_dp_wd/best_epoch_0045.pt,0.1084990426898002,0.501974333662389,0.5,0.7467789890981169,4,15,1013,,results/big/f9_analysis.csv,True,0.2_adam_dp,0.501974333662389,0.5,0.106287308037281,0.0,0.0,0.0022117346525191983,False,False,False,False,False
True,f9,f9,0.2_sgd_dp_wd,0.2,sgd,0.2,True,big,96,snapshots_clean/big/f9/0.2_sgd_dp_wd/best_epoch_0096.pt,0.0872527509927749,0.501974333662389,0.5,0.7477700693756195,4,11,1013,,results/big/f9_analysis.csv,True,0.2_sgd_dp,0.501974333662389,0.5,0.0874605178833007,0.0,0.0,-0.000207766890525804,False,False,True,False,False
