seed,function_name,condition,noise,optimizer,dropout,weight_decay,reg_state,model_size,auprc_full,val_loss,first_val_loss,last_val_loss,best_epoch,converged
44,f5,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.8928571428571428,0.0026592955902278266,0.014650606441291724,0.00300395729619653,57,True
44,f5,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.501974333662389,0.0230707172205315,0.04683885176448112,0.026185793564357657,96,True
44,f5,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.8928571428571428,0.00276073465554757,0.01526513966196712,0.0033667231823238447,74,True
44,f5,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.017827856919153572,0.04718187839743939,0.01832592431852158,94,True
44,f5,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.8611111111111112,0.12782674369976876,0.1736244816887886,0.13125964198657808,86,True
44,f5,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.501974333662389,0.14764420275992535,0.18905856618855862,0.15758054679695596,53,True
44,f5,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.85,0.12852955007172645,0.1744658903397144,0.1339474710378241,86,True
44,f5,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.14231531393337757,0.18975904996090748,0.1592324529873564,85,True
44,f5,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.8611111111111112,0.49978843109404786,0.5548620984909383,0.5040141543809403,95,True
44,f5,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.501974333662389,0.5147623369034301,0.5793341188988788,0.5310010047669106,60,True
44,f5,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.7509871668311945,0.4990379236480023,0.5558930254997091,0.5068338554590306,57,True
44,f5,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.5135526834650243,0.5799752657717847,0.5263989231687911,66,True
44,f6,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.7291666666666666,0.0068621236578303765,0.11897504670505828,0.008486169692564835,44,True
44,f6,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.37697433366238897,0.2020410436423535,0.43777905499681513,0.8979015727626517,18,False
44,f6,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.5247966906407182,0.009727995753526054,0.11064815406311065,0.009833917338797387,80,True
44,f6,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.19539008519433915,0.43736784508887755,0.7979248739937519,18,False
44,f6,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.7019230769230769,2.9827413837960424,3.548159084421523,3.09878353108751,29,True
44,f6,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.501974333662389,3.0991741355429303,3.43738865218264,3.767362353649545,21,False
44,f6,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.501974333662389,2.9484655032766627,3.530893617487968,3.061030077173355,29,True
44,f6,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,3.1328917868593904,3.4295111856562026,3.87858200326879,49,False
44,f6,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.37697433366238897,11.801379619760716,12.114474600933967,12.626239553410956,7,False
44,f6,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.501974333662389,11.774188614906148,12.347111336728359,12.653169144975378,21,False
44,f6,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.6259871668311945,11.77821279079356,12.101407071377368,12.569390494772728,15,False
44,f6,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,11.806937268439759,12.336930422072715,12.540685105831065,21,False
44,f7,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.2529615004935834,0.00413105087206164,0.02480660211493043,0.005949508552340434,82,True
44,f7,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.2529615004935834,0.0285852290095484,0.05362723165370049,0.07543849849954565,76,False
44,f7,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.2529615004935834,0.004134748270982837,0.025953634869941372,0.007024014745145402,74,True
44,f7,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.03169323434617291,0.06013305453543968,0.08230471389090761,93,False
