function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,num_gt,num_detected,num_exact_matched,num_superset_matched_unique,num_matched,matched_pairs,best_epoch,val_loss,success
f6,0.5_adam_dp_wd,0.5,adam,0.2,True,0.4,1.0,0.25,4,8,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.981837272644043}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 1.1347905397415161}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.26423633098602295}]",8,3.564476251602173,True
f6,0.5_sgd_dp,0.5,sgd,0.2,False,0.625,1.0,0.5,4,6,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 69.42405700683594}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 21.642663955688477}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 3.4267492294311523}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 1.6714439392089844}]",24,2.894472599029541,True
f6,0.5_sgd_dp_wd,0.5,sgd,0.2,True,0.4375,1.0,0.25,4,7,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.559000968933105}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 1.1861494779586792}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.17513397336006165}]",90,3.337186098098755,True
f6,1.0_adam,1.0,adam,0.0,False,0.3333333333333333,1.0,0.25,4,6,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 34.83417892456055}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 4.686611175537109}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 3.390369415283203}]",10,11.326236724853516,True
f6,1.0_sgd,1.0,sgd,0.0,False,0.25,0.5,0.25,4,6,1,1,2,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 35.15210723876953}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 3.1930439472198486}]",28,11.2276611328125,True
f6,1.0_adam_dp,1.0,adam,0.2,False,0.6666666666666666,1.0,0.5,4,10,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 160.44210815429688}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 43.057701110839844}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 16.099159240722656}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 5.216403961181641}]",52,11.316679954528809,True
f6,1.0_adam_wd,1.0,adam,0.0,True,0.7727272727272727,1.0,0.25,4,16,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.72311019897461}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({8, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.949281632900238}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2, 10, 7}), 'match_type': 'superset', 'extra_features': 2, 'strength': 0.11033399403095245}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({3, 4, 5, 6, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 4, 'strength': 0.12515300512313843}]",95,11.620170593261719,True
f6,1.0_adam_dp_wd,1.0,adam,0.2,True,0.375,1.0,0.25,4,5,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.672245979309082}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 0.9607259035110474}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.33941617608070374}]",60,11.967138290405273,True
f6,1.0_sgd_dp,1.0,sgd,0.2,False,0.25,1.0,0.25,4,4,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 108.85159301757812}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 6.721162796020508}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 4.88542366027832}]",58,11.233232498168945,True
f6,1.0_sgd_dp_wd,1.0,sgd,0.2,True,0.375,1.0,0.25,4,5,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.195363998413086}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 1.0744190216064453}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.2765326499938965}]",30,11.690206527709961,True
