epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
46.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0023094338830560446,0.6950757575757576,0.4666666666666667,0.8977272727272727,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0046.pt
47.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002058141166344285,0.6875,0.4625,0.9038461538461539,0.9957879088206145,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0047.pt
48.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.003299062605947256,0.7708333333333333,0.5083333333333333,0.90625,0.9962834489593656,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0048.pt
49.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0036204676143825054,0.6875,0.4625,0.8913043478260869,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0049.pt
50.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0028252340853214264,0.8333333333333333,0.5458333333333333,0.9130434782608696,0.9965312190287413,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0050.pt
51.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002253734739497304,0.6810897435897436,0.4666666666666667,0.89,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0051.pt
52.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002350096357986331,0.6875,0.4666666666666667,0.8913043478260869,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0052.pt
53.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004655209835618734,0.6810897435897436,0.4625,0.8854166666666667,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0053.pt
54.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.00261703017167747,0.6810897435897436,0.4666666666666667,0.8804347826086957,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0054.pt
55.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002652073511853814,0.6810897435897436,0.4625,0.8804347826086957,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0055.pt
