function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,auprc,auroc_full,precision_full,recall_full,auprc_full,num_gt,num_detected,num_exact_matched,num_superset_matched_unique,num_matched,matched_pairs,best_epoch,val_loss,success,model_size
f8,0.5_sgd,0.5,sgd,0.0,False,0.0,0.0,0.0,0.4,0.49950445986124875,0.0,0.0,0.0019743336623889436,4,1,0,1,1,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 15.423418045043945}]",22,1.0338642597198486,True,big
f8,0.5_sgd_dp,0.5,sgd,0.2,False,0.75,1.0,0.75,0.94375,0.8733894945490585,0.5,0.75,0.36716025008226394,4,6,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 12.393608093261719}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 13.056503295898438}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 22.628013610839844}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 10.421772956848145}]",57,1.0400923490524292,True,big
f8,0.5_sgd_dp_wd,0.5,sgd,0.2,True,0.75,1.0,0.75,0.94375,0.8738850346878098,0.5,0.75,0.4484102500822639,4,6,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 11.339757919311523}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 14.500263214111328}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 20.08192253112793}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 9.225784301757812}]",67,1.0426095724105835,True,big
f8,0.5_sgd_wd,0.5,sgd,0.0,True,0.0,0.0,0.0,0.4,0.49950445986124875,0.0,0.0,0.0019743336623889436,4,1,0,1,1,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 15.301019668579102}]",19,1.040077567100525,True,big
f8,1.0_adam,1.0,adam,0.0,False,0.875,1.0,0.75,0.94375,0.9985133795837463,0.4444444444444444,1.0,0.6889880952380952,4,9,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.34431791305542}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.905187606811523}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.6646828651428223}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 8.920867919921875}]",11,4.1057047843933105,True,big
f8,1.0_adam_dp,1.0,adam,0.2,False,0.5,0.6666666666666666,0.5,0.8666666666666667,0.7490089197224975,0.5,0.5,0.33432050016452775,4,4,2,1,3,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 355.0013427734375}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 368.744384765625}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 352.5043029785156}]",62,4.2360734939575195,True,big
f8,1.0_adam_dp_wd,1.0,adam,0.2,True,0.5,0.5,0.5,0.7916666666666666,0.7482656095143707,0.3333333333333333,0.5,0.2509871668311945,4,6,2,1,3,"[{'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 121.01622009277344}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 139.2971954345703}, {'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 107.45193481445312}]",19,4.17985725402832,True,big
f8,1.0_adam_wd,1.0,adam,0.0,True,0.75,1.0,0.75,0.9083333333333333,0.8733894945490585,0.375,0.75,0.5390352500822638,4,8,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.653146743774414}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.5838623046875}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.805034637451172}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 2.375216245651245}]",17,4.12786865234375,True,big
f8,1.0_sgd,1.0,sgd,0.0,False,0.0,0.0,0.0,0.4,0.49950445986124875,0.0,0.0,0.0019743336623889436,4,1,0,1,1,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 21.216129302978516}]",7,4.1139421463012695,True,big
f8,1.0_sgd_dp,1.0,sgd,0.2,False,0.25,0.5,0.25,0.7375,0.6240089197224975,0.3333333333333333,0.25,0.1889807502467917,4,3,1,1,2,"[{'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 19.903657913208008}, {'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 14.819825172424316}]",23,4.117622375488281,True,big
f8,1.0_sgd_dp_wd,1.0,sgd,0.2,True,0.25,0.5,0.25,0.7375,0.6240089197224975,0.3333333333333333,0.25,0.1889807502467917,4,3,1,1,2,"[{'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 18.258153915405273}, {'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 17.93978500366211}]",37,4.102281093597412,True,big
f8,1.0_sgd_wd,1.0,sgd,0.0,True,0.0,0.0,0.0,0.4,0.49950445986124875,0.0,0.0,0.0019743336623889436,4,1,0,1,1,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 21.53125}]",12,4.101933479309082,True,big
f8,base_adam,0.0,adam,0.0,False,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,1.0,1.0,4,13,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.520028114318848}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.4750590324401855}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 1.7140047550201416}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.541898250579834}]",70,0.002369700465351343,True,big
f8,base_sgd,0.0,sgd,0.0,False,0.9642857142857143,1.0,0.75,0.94375,0.9987611496531219,0.3333333333333333,1.0,0.54375,4,12,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.0784175395965576}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.9064383506774902}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.8159403800964355}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.506213665008545}]",100,0.0037212821189314127,True,big
f8,base_sgd_dp,0.0,adam,0.2,False,1.0,1.0,0.75,1.0,0.9990089197224975,0.5714285714285714,1.0,0.5791666666666666,4,7,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 16.620576858520508}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 13.650507926940918}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 11.984280586242676}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 20.744667053222656}]",84,0.015964822843670845,True,big
f8,base_sgd_dp_wd,0.0,adam,0.2,True,1.0,1.0,0.5,1.0,0.9990089197224975,0.6666666666666666,1.0,0.5791666666666666,4,6,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 11.432488441467285}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 13.422090530395508}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 10.334451675415039}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 21.116573333740234}]",97,0.016202980652451515,True,big
f8,base_sgd_wd,0.0,adam,0.0,True,0.75,1.0,0.5,0.94375,0.8728939544103073,0.375,0.75,0.4967733453203591,4,8,3,1,4,"[{'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 1.935002326965332}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.994697332382202}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.762900352478027}, {'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 1.93364417552948}]",91,0.004575909115374088,True,big
